stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,17,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.56105745799869,76.56105745799869,76.86095683299936,space,1,0.3112801670067711,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,18,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.56096958299895,77.56096958299895,77.86148074999801,space,1,0.27172595800220734,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,N,none,,,,,,,0,19,19,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5448147079951,78.5448147079951,78.84415387499757,space,0,0.24831408300087787,79.54428058299527,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,20,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.54428058299527,79.54428058299527,79.84443366699998,space,1,0.3038755830057198,80.54456766699877,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,21,21,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.54456766699877,80.54456766699877,80.84463291699649,space,1,0.2601160830090521,81.54445866699825,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.54445866699825,81.54445866699825,81.84406237499934,space,1,0.3057098740027868,82.54494312500174,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,23,23,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.54494312500174,82.54494312500174,82.8442935829953,space,1,0.37815925000904826,83.54526970799634,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,24,24,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.54526970799634,83.54526970799634,83.84549504199822,space,1,0.2979846240050392,84.54459374999715,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,25,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.54459374999715,84.54459374999715,84.84471454199956,space,1,0.40927645800547907,85.54477233299986,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,26,26,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.54477233299986,85.54477233299986,85.84481720799522,space,1,0.27221687400742667,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
