stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_trial_Prac1.stopped,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,47,47,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.08207374999984,131.08207374999984,131.38173450000068,space,1,0.44303691599998274,132.08167637500082,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,48,48,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.08167637500082,132.08167637500082,132.38218983300067,space,1,0.3249021659994469,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,49,49,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.08191587500005,133.08191587500005,133.38180833300066,space,1,0.3261745410000003,134.08172987500075,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.08172987500075,134.56530558300074,space,15.62182570799996,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,,,H,space,,,,,,,,,0,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.74549350000052,149.74549350000052,150.04880799999955,space,1,0.7243845829998463,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,,,L,space,,,,,,,,,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.74892029200055,150.74892029200055,151.04886437499954,space,1,0.3941050419998646,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,,,T,space,,,,,,,,,0,2,2,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.74900716699995,151.74900716699995,152.04892183300035,space,1,0.2999876249996305,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,,,R,space,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.74935645799997,152.74935645799997,153.04915945799985,space,1,0.42236195799887355,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,,,Z,space,,,,,,,,,0,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.74915791700005,153.74915791700005,154.04896991699934,space,1,0.3025347499988129,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,,,T,space,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.7490131249997,154.7490131249997,155.0490587919994,space,1,0.30050562500036904,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
