stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,Y,none,,,,,,,0,23,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.12342304200865,130.12342304200865,130.4234097080771,space,0,0.34796141600236297,131.123336333083,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,24,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.123336333083,131.123336333083,131.42286095791496,space,1,0.48430587514303625,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,25,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.12346445792355,132.12346445792355,132.42295325011946,space,1,0.4359364581760019,133.12326754210517,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,26,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.12326754210517,133.12326754210517,133.42339316708967,space,1,0.47306491690687835,134.1233728749212,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,27,27,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.1233728749212,134.1233728749212,134.42338416702114,space,1,0.5164288328960538,135.1238014169503,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,28,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.1238014169503,135.1238014169503,135.42297258297913,space,1,0.4467619170900434,136.12328287493438,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,29,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.12328287493438,136.12328287493438,136.423408749979,space,1,0.7482632908504456,137.1232916249428,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,30,30,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.1232916249428,137.1232916249428,137.4233620830346,space,1,0.5112797499168664,138.12335141701624,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,31,31,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.12335141701624,138.12335141701624,138.42374312505126,space,1,0.40252037486061454,139.1235627080314,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,32,32,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1235627080314,139.1235627080314,139.42342066694982,space,1,0.4259442500770092,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
